,Tavg,Htg Fraction,,All Conditioning,Overall COP,,,,,,,,,,,,,,,,,,,,,,
,8.673611708,0.478767708,,709.85625,3.949556961,,,,,,,,,,,,,,,,,,,,,,
,8.046296875,0.506104597,,556.7980556,3.259988625,,,,,,,,,,,,,,,,,,,,,,
,7.1134265,0.528690035,,420.1056944,2.897468449,,,,,,,,,,,,,,,,,,,,,,
,7.870371083,0.533073222,,732.4488889,3.792309238,,,,,,,,,,,,,,,,,,,,,,
,7.206019042,0.555261095,,795.9726389,3.899521319,,,,,,,,,,,,,,,,,,,,,,
,9.76157475,0.568858661,,579.85625,3.090908259,,,,,,,,,,,,,,,,,,,,,,
,6.881944917,0.590808925,,911.5545833,4.152158034,,,,,,,,,,,,,,,,,,,,,,
,8.344908083,0.590972753,,572.0890278,2.979465832,,,,,,,,,,,,,,,,,,,,,,
,9.78125075,0.592686873,,519.2565278,3.266103651,,,,,,,,,,,,,,,,,,,,,,
,6.965278375,0.621511756,,854.7161111,3.716176489,,,,,,,,,,,,,,,,,,,,,,
,8.162037708,0.627089792,,705.2636111,3.253952443,,,,,,,,,,,,,,,,,,,,,,
,7.833334,0.630004658,,786.4963889,3.431925309,,,,,,,,,,,,,,,,,,,,,,
,7.340278292,0.630421433,,879.38,3.683257729,,,,,,,,,,,,,,,,,,,,,,
,5.1250005,0.632944914,,904.4963889,3.670482636,,,,,,,,,,,,,,,,,,,,,,
,6.664352542,0.633979293,,898.85625,3.570990825,,,,,,,,,,,,,,,,,,,,,,
,7.627315375,0.634822405,,914.6234722,3.902184607,,,,,,,,,,,,,,,,,,,,,,
,7.613426667,0.63542019,,669.2636111,3.160025067,,,,,,,,,,,,,,,,,,,,,,
,7.57407475,0.636889725,,721.5438889,3.325844144,,,,,,,,,,,,,,,,,,,,,,
,8.104167417,0.639169223,,692.8455556,3.372650175,,,,,,,,,,,,,,,,,,,,,,
,6.807870958,0.642690984,,738.85625,3.468679056,,,,,,,,,,,,,,,,,,,,,,
,7.398148833,0.64920075,,769.6709722,3.622875333,,,,,,,,,,,,,,,,,,,,,,
,7.543982083,0.656798047,,740.0890278,3.707663925,,,,,,,,,,,,,,,,,,,,,,
,6.534722875,0.659100283,,853.6234722,3.428240509,,,,,,,,,,,,,,,,,,,,,,
,6.342593125,0.666956099,,906.7873611,3.580304504,,,,,,,,,,,,,,,,,,,,,,
,6.622685667,0.667536356,,920.4013889,3.823207974,,,,,,,,,,,,,,,,,,,,,,
,9.821760125,0.67130834,,435.0581944,2.532786109,,,,,,,,,,,,,,,,,,,,,,
,4.215278125,0.6713971,,1046.85625,3.931300084,,,,,,,,,,,,,,,,,,,,,,
,5.446759708,0.672129971,,1006.496389,3.699430056,,,,,,,,,,,,,,,,,,,,,,
,6.548611708,0.672711786,,968.5652778,3.851144969,,,,,,,,,,,,,,,,,,,,,,
,6.733796833,0.673584152,,916.0094444,3.563953386,,,,,,,,,,,,,,,,,,,,,,
,6.817130208,0.675692683,,844.8776389,3.418545999,,,,,,,,,,,,,,,,,,,,,,
,7.967593292,0.677357531,,805.8455556,3.452371682,,,,,,,,,,,,,,,,,,,,,,
,7.858796917,0.678440098,,544.2220833,2.99829364,,,,,,,,,,,,,,,,,,,,,,
,3.972222542,0.680470503,,979.5652778,3.619339226,,,,,,,,,,,,,,,,,,,,,,
