,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,,,,,,,,
17,323,16.9908855,3.350897833,11.36965944,11.31331269,14.13931889,0,11.49130031,1.013887853,1.157207974,0.136567767,0,0,0.76941335,0.09363362,0.09363362,0.110434162,0.19,0.039226105,3.136567767,0.075651681,0.306564929,0.377458188,3.976217184,1.331139771,15.08700082,3.535819566,0,0,0,0,0.031020698,0.029902289,1.5485991,0.032017439,3.1217262,,,,,,,,,,,,,,,,,,0.075651681,,
18,279,17.95838462,3.408494624,11.51505376,11.46200717,21.11469534,0,12.61523297,1.012186542,1.415993853,0.168951613,0,0,1.150869887,0.115329856,0.115329856,0.111110441,0.19,0.048527656,3.168951613,0.062847339,0.377248646,0.45647933,4.670838535,1.785990733,22.25942379,5.134874006,0,0,0,0,0.038444435,0.036286287,1.760970725,0.038884896,4.618186276,,,,,,,,,,,,,,,,,,0.062847339,,
19,243,18.94833465,3.488271605,11.71769547,11.6654321,30.33744856,0,13.42510288,1.010677734,1.644712386,0.195418381,0,0,1.651867461,0.133600687,0.133600687,0.111632842,0.19,0.056129657,3.195418381,0.051425931,0.440362786,0.519774736,4.769656511,2.382265613,31.64427183,7.152243091,0,0,0,0,0.0449368,0.041143138,1.600268813,0.044092293,6.569849185,,,,,,,,,,,,,,,,,,0.051425931,,
20,219,19.94571439,3.593424658,11.92739726,11.87488584,40.75799087,0,14.4060274,1.009788461,1.891552833,0.226134576,0,0,2.222247285,0.154231984,0.154231984,0.113342376,0.19,0.064952212,3.226134576,0.044351068,0.500357657,0.582068515,4.590308937,2.960534679,42.23611713,9.314293555,0,0,0,0,0.051212298,0.046107745,1.326284382,0.049443365,8.781754884,,,,,,,,,,,,,,,,,,0.044351068,,
21,203,20.95867711,3.641083744,12.10147783,12.06305419,47.71921182,0,14.671133,1.015158718,1.972796466,0.234211138,0,0,2.603694758,0.160165466,0.160165466,0.113161385,0.19,0.067272028,3.234211138,0.039700478,0.522549889,0.599504531,4.411688814,3.387060036,48.94998923,10.7224269,0,0,0,0,0.053352315,0.047248682,1.182075032,0.050659263,10.124967,,,,,,,,,,,,,,,,,,0.039700478,,
22,97,21.95990921,3.625773196,12.19381443,12.20618557,58.74226804,0,15.3257732,1.01436882,2.215807521,0.263374857,0,0,3.202776913,0.180038705,0.180038705,0.114009404,0.19,0.075648668,3.263374857,0.036349696,0.592700244,0.67688303,5.549642218,3.977487777,60.09458724,13.19387428,0,0,0,0,0.060855536,0.053480703,1.658433754,0.057330426,12.44000947,,,,,,,,,,,,,,,,,,0.036349696,,
23,90,22.95802652,3.800555556,12.49555556,12.46777778,68.63333333,0,16.55244444,1.002741032,2.757674334,0.320716049,0,0,3.742135341,0.221095768,0.221095768,0.116350962,0.19,0.092118672,3.320716049,0.038627755,0.693340643,0.801812583,5.317811735,4.313019017,71.19585751,14.92968889,0,0,0,0,0.069795409,0.062504339,1.279424199,0.066951393,14.83998247,,,,,,,,,,,,,,,,,,0.038627755,,
24,44,23.88889059,3.708863636,12.41590909,12.40227273,69.27272727,0,15.88954545,1.00654943,2.22637897,0.255261995,0,0,3.81,0.176958055,0.176958055,0.113958182,0.19,0.073318426,3.255261995,0.031138557,0.590355094,0.663503795,4.591000893,4.499757809,71.03387485,15.21698465,0,0,0,0,0.059719506,0.051450408,1.148882537,0.055058272,14.73566747,,,,,,,,,,,,,,,,,,0.031138557,,
25,22,24.78030495,3.781363636,12.72272727,12.67727273,81.90909091,0,18.24636364,1.021999053,2.973553396,0.338585859,0,0,4.505,0.235399042,0.235399042,0.116845208,0.19,0.097251384,3.338585859,0.035031347,0.749258125,0.867695973,6.213286708,4.652030728,83.05550191,17.74199361,0,0,0,0,0.075038985,0.067145166,1.607618704,0.071816226,17.00087595,,,,,,,,,,,,,,,,,,0.035031347,,
26,13,25.88889077,3.428461538,12.33076923,12.29230769,57.07692308,0,15.12307692,0.939429939,2.227052639,0.250683761,0,0,3.139230769,0.175011859,0.175011859,0.115908247,0.19,0.072003428,3.250683761,0.037553176,0.619995024,0.715335538,10.45288057,3.921422606,63.12761948,13.63464724,0,0,0,0,0.063619668,0.05591034,5.755593569,0.05964979,13.84871303,,,,,,,,,,,,,,,,,,0.037553176,,
27,9,26.99382944,3.358888889,12.52222222,12.47777778,68.44444444,0,14.59111111,1.00846639,0.78102031,0.090524691,0,0,3.764444444,0.062475732,0.062475732,0.107537333,0.19,0.026001238,3.090524691,0.011282269,0.247351382,0.258598231,2.791930949,4.744358687,68.64429538,15.87138784,0,0,0,0,0.026076101,0.020290782,1.100186853,0.021707956,14.23496519,,,,,,,,,,,,,,,,,,0.011282269,,
