,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,
 Month,Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,Cooling provided (kWh),Clg. Elec. Calculated from COP C2 (kWh),Htg to bldg + DHW (kWh), Htg. Elec.  Calculated from COP H2 (kWh) ,EL007 (kWh),EL003 (kWh),CP energy for htg (kWh),HP +int CP energy (kWh),HP + source CPs energy (kWh),CP energy for clg (kWh)
8, Aug 16,744,16.57739814,3.446841398,11.55443548,11.50564516,20.38037634,0.143817204,11.91630376,1.01199526,1.077644583,0.134144452,0.056451613,0.007236547,1.120920699,0.090121058,0.097005697,0.110652829,0.19,0.03853006,3.134144452,0.056544345,0.342679174,0.402977186,3.301965982,1.812796867,21.34578983,4.887470851,3.906215915,0,0,0,0.033647011,0.030468451,1.027219349,0.03239189,4.403212197,0,,,,,,,,,,,,
9, Sep 16,720,14.97083527,3.737972222,11.61847222,11.59013889,19.16527778,0.504166667,13.67263889,1.01089908,1.789989763,0.222270448,0.216666667,0.025349167,1.008147971,0.149457385,0.173331805,0.116548619,0.19,0.063842326,3.222270448,0.10690666,0.525628434,0.710624605,3.677867036,1.569516637,21.22806781,4.611279171,4.448610694,0,0,0,0.046151396,0.04994813,0.748277352,0.052634194,4.340531318,0,,,,,,,,,,,,
10, Oct 16,744,7.139113477,8.241586022,9.934139785,10.34892473,10.3938172,18.7594086,13.26833333,1.0132518,2.05190016,0.246778861,2.790322581,0.948041656,0.555822244,0.167892003,1.021800772,0.183108962,0.19,0.070881831,3.246778861,0.666919556,1.395419349,2.674385068,3.670059372,2.351849715,30.79701014,3.699927332,4.166589038,0,0,0,0.075547717,0.12706556,0.216034202,0.12731394,5.970503469,0,,,,,,,,,,,,
11, Nov 16,720,2.079977135,14.42281944,8.215069444,9.181944444,10.2375,41.64027778,13.96290278,1.013730571,2.169315111,0.247407215,2.9625,2.10168119,0.546440176,0.171807331,2.130363366,0.237297969,0.19,0.071062312,3.247407215,0.810581856,1.826645885,3.084352017,3.651674641,3.87076339,53.31504687,3.709183726,3.920176901,0,0,0,0.100527887,0.147763509,0.191791981,0.147837019,10.32386314,0,,,,,,,,,,,,
12, Dec 16,744,2.221774348,14.7878629,7.83608871,8.856182796,9.191532258,44.39448925,13.79010753,1.014387174,1.72980728,0.187489359,2.97983871,2.238696765,0.490008611,0.132949579,2.255120067,0.241234305,0.19,0.053852219,3.187489359,0.833835406,1.875165744,3.152909475,3.705892256,4.011268852,54.53127779,3.700938573,3.97610442,0,0,0,0.103952479,0.152230764,0.194955367,0.152269731,10.55642368,0,,,,,,,,,,,,
1, Jan 17,744,-0.332138655,16.76150538,7.204973118,8.4,9.626344086,52.7311828,13.8377957,1.021663465,2.260947645,0.232308468,2.97983871,2.657871522,0.514348318,0.168614697,2.677955318,0.257324046,0.19,0.066725527,3.232308468,0.851027989,2.039546206,3.301252228,3.819253055,4.669708668,63.24829725,3.81431579,4.064700278,0,0,0,0.113250328,0.159348168,0.198169658,0.159393103,12.15917394,,,,,,,,,,,,,
2, Feb 17,672,0.027445799,15.76072917,7.466145833,8.528497024,11.11532738,47.56622024,14.10199405,1.015740312,2.721953369,0.273306052,2.986607143,2.398380304,0.590867257,0.200460965,2.426634368,0.247472377,0.19,0.078501187,3.273306052,0.818978931,1.960752658,3.227227184,3.775588801,4.354242441,60.45196816,3.854411339,4.027105764,0,0,0,0.107597867,0.153965095,0.195317191,0.154037768,11.67846444,,,,,,,,,,,,,
3, Mar 17,744,3.135342255,12.25231183,8.241330645,9.028763441,11.56653226,33.89516129,13.7138172,1.010647223,2.817118632,0.282993952,2.858870968,1.711611249,0.621852921,0.207522048,1.770610929,0.217170086,0.19,0.081283824,3.282993952,0.760422187,1.757190732,3.060799014,3.770065365,3.520450321,47.77019229,3.877013938,4.093096089,0,0,0,0.095809943,0.145249681,0.200500185,0.145383768,9.272137979,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Figure 8 for B&W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
