Best estimate of cooling provided,Negative values,Best estimate of heating provided,Ambient temperature (°C),,,,
 (kWh/h),(kWh/h),(kWh/h),°C,,,,
Cooling,Cooling,Heating ,ODA,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.166667,,,,
3,-3,67,-2.166667,,,,
3,-3,67,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.166667,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,66,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2.111111,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,65,-2,,,,
3,-3,64,-2,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.944445,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.833333,,,,
3,-3,64,-1.777778,,,,
3,-3,63.81818182,-1.777778,,,,
